Time (min),Volume of Mixture (ml),Viable Cells (10^6 cells/ml),mAb Concentration (mg/l),Glucose Concentration (g/l),Lactate Concentration (g/l),Viability (%)
1382,5650,1.47817076357,17.5258958403,5.50582161871,0.477407767835,98.8278675228
1383,5650,1.47891532654,17.5437665785,5.50529057963,0.477740002844,98.8277462734
1384,5650,1.47966017009,17.5616463177,5.50475931912,0.478072343172,98.8276250114
1385,5650,1.48040529423,17.5795350613,5.50422783713,0.478404788798,98.8275037367
1386,5650,1.48115069897,17.5974328127,5.50369613364,0.478737339702,98.8273824494
1387,5650,1.48189638434,17.6153395753,5.50316420859,0.479069995864,98.8272611494
1388,5650,1.48264235034,17.6332553525,5.50263206195,0.479402757263,98.8271398366
1389,5650,1.48338859699,17.6511801476,5.50209969369,0.47973562388,98.827018511
1390,5650,1.4841351243,17.6691139641,5.50156710376,0.480068595693,98.8268971727
1391,5650,1.48488193229,17.6870568054,5.50103429212,0.480401672682,98.8267758215
1392,5650,1.48562902096,17.7050086748,5.50050125874,0.480734854826,98.8266544574
1393,5650,1.48637639033,17.7229695758,5.49996800358,0.481068142105,98.8265330804
1394,5650,1.48712404041,17.7409395117,5.49943452661,0.481401534498,98.8264116905
1395,5650,1.48787197122,17.758918486,5.49890082777,0.481735031984,98.8262902876
1396,5650,1.48862018277,17.7769065019,5.49836690704,0.482068634543,98.8261688717
1397,5650,1.48936867506,17.794903563,5.49783276438,0.482402342152,98.8260474427
1398,5650,1.49011744812,17.8129096726,5.49729839975,0.482736154792,98.8259260006
1399,5650,1.49086650196,17.830924834,5.4967638131,0.483070072441,98.8258045455
1400,5650,1.49161583658,17.8489490508,5.49622900441,0.483404095078,98.8256830771
1401,5650,1.492365452,17.8669823263,5.49569397364,0.483738222682,98.8255615956
1402,5650,1.49311534824,17.8850246638,5.49515872074,0.484072455231,98.8254401009
1403,5650,1.4938655253,17.9030760669,5.49462324568,0.484406792705,98.8253185929
1404,5650,1.49461598319,17.9211365388,5.49408754843,0.484741235082,98.8251970716
1405,5650,1.49536672193,17.9392060829,5.49355162893,0.485075782341,98.825075537
1406,5650,1.49611774154,17.9572847028,5.49301548717,0.485410434459,98.8249539891
1407,5650,1.49686904201,17.9753724017,5.49247912309,0.485745191416,98.8248324277
1408,5650,1.49762062336,17.993469183,5.49194253666,0.486080053189,98.824710853
1409,5650,1.49837248561,18.0115750502,5.49140572785,0.486415019758,98.8245892648
1410,5650,1.49912462877,18.0296900066,5.49086869662,0.4867500911,98.824467663
1411,5650,1.49987705284,18.0478140557,5.49033144292,0.487085267194,98.8243460478
1412,5650,1.50062975784,18.0659472008,5.48979396672,0.487420548017,98.824224419
1413,5650,1.50138274378,18.0840894453,5.48925626799,0.487755933548,98.8241027766
1414,5650,1.50213601066,18.1022407926,5.48871834669,0.488091423765,98.8239811206
1415,5650,1.50288955851,18.1204012462,5.48818020278,0.488427018646,98.8238594509
1416,5650,1.50364338733,18.1385708093,5.48764183621,0.488762718168,98.8237377675
1417,5650,1.50439749713,18.1567494855,5.48710324697,0.489098522309,98.8236160704
1418,5650,1.50515188792,18.1749372781,5.486564435,0.489434431048,98.8234943595
1419,5650,1.50590655971,18.1931341905,5.48602540028,0.489770444361,98.8233726348
1420,5650,1.50666151252,18.2113402261,5.48548614275,0.490106562226,98.8232508963
1421,5650,1.50741674635,18.2295553883,5.4849466624,0.490442784622,98.8231291439
1422,5650,1.50817226122,18.2477796805,5.48440695918,0.490779111525,98.8230073776
1423,5650,1.50892805713,18.2660131061,5.48386703305,0.491115542912,98.8228855974
1424,5650,1.50968413409,18.2842556684,5.48332688397,0.491452078762,98.8227638032
1425,5650,1.51044049211,18.302507371,5.48278651192,0.491788719052,98.822641995
1426,5650,1.51119713121,18.3207682171,5.48224591685,0.492125463758,98.8225201728
1427,5650,1.51195405139,18.3390382102,5.48170509873,0.492462312858,98.8223983365
1428,5650,1.51271125266,18.3573173537,5.48116405752,0.492799266329,98.8222764861
1429,5650,1.51346873504,18.3756056509,5.48062279318,0.493136324149,98.8221546215
1430,5650,1.51422649852,18.3939031054,5.48008130567,0.493473486293,98.8220327428
1431,5650,1.51498454313,18.4122097204,5.47953959497,0.493810752739,98.8219108499
1432,5650,1.51574286887,18.4305254993,5.47899766104,0.494148123464,98.8217889427
1433,5650,1.51650147574,18.4488504456,5.47845550383,0.494485598445,98.8216670213
1434,5650,1.51726036376,18.4671845627,5.47791312331,0.494823177658,98.8215450855
1435,5650,1.51801953294,18.485527854,5.47737051945,0.49516086108,98.8214231354
1436,5650,1.51877898329,18.5038803228,5.4768276922,0.495498648688,98.8213011709
1437,5650,1.5195387148,18.5222419726,5.47628464154,0.495836540457,98.8211791921
1438,5650,1.5202987275,18.5406128067,5.47574136743,0.496174536366,98.8210571987
1439,5650,1.52105902139,18.5589928285,5.47519786982,0.496512636389,98.8209351909
1440,5650,1.52181959648,18.5773820416,5.47465414869,0.496850840504,98.8208131686
1441,5650,1.52258045278,18.5957804492,5.474110204,0.497189148687,98.8206911318
1442,5650,1.5233415903,18.6141880547,5.47356603572,0.497527560913,98.8205690803
1443,5650,1.52410300903,18.6326048616,5.47302164379,0.497866077159,98.8204470143
